symptom 1 :  abdominal_pain
symptom 2 :  abnormal_menstruation
symptom 3 :  acidity
symptom 4 :  acute_liver_failure
symptom 5 :  altered_sensorium
symptom 6 :  anxiety
symptom 7 :  back_pain
symptom 8 :  belly_pain
symptom 9 :  blackheads
symptom 10 :  bladder_discomfort
symptom 11 :  blister
symptom 12 :  blood_in_sputum
symptom 13 :  bloody_stool
symptom 14 :  blurred_and_distorted_vision
symptom 15 :  breathlessness
symptom 16 :  brittle_nails
symptom 17 :  bruising
symptom 18 :  burning_micturition
symptom 19 :  chest_pain
symptom 20 :  chills
symptom 21 :  cold_hands_and_feets
symptom 22 :  coma
symptom 23 :  congestion
symptom 24 :  constipation
symptom 25 :  continuous_feel_of_urine
symptom 26 :  continuous_sneezing
symptom 27 :  cough
symptom 28 :  cramps
symptom 29 :  dark_urine
symptom 30 :  dehydration
symptom 31 :  depression
symptom 32 :  diarrhoea
symptom 33 :  dischromic _patches
symptom 34 :  distention_of_abdomen
symptom 35 :  dizziness
symptom 36 :  drying_and_tingling_lips
symptom 37 :  enlarged_thyroid
symptom 38 :  excessive_hunger
symptom 39 :  extra_marital_contacts
symptom 40 :  family_history
symptom 41 :  fast_heart_rate
symptom 42 :  fatigue
symptom 43 :  fluid_overload
symptom 44 :  foul_smell_of urine
symptom 45 :  headache
symptom 46 :  high_fever
symptom 47 :  hip_joint_pain
symptom 48 :  history_of_alcohol_consumption
symptom 49 :  increased_appetite
symptom 50 :  indigestion
symptom 51 :  inflammatory_nails
symptom 52 :  internal_itching
symptom 53 :  irregular_sugar_level
symptom 54 :  irritability
symptom 55 :  irritation_in_anus
symptom 56 :  joint_pain
symptom 57 :  knee_pain
symptom 58 :  lack_of_concentration
symptom 59 :  lethargy
symptom 60 :  loss_of_appetite
symptom 61 :  loss_of_balance
symptom 62 :  loss_of_smell
symptom 63 :  malaise
symptom 64 :  mild_fever
symptom 65 :  mood_swings
symptom 66 :  movement_stiffness
symptom 67 :  mucoid_sputum
symptom 68 :  muscle_pain
symptom 69 :  muscle_wasting
symptom 70 :  muscle_weakness
symptom 71 :  nausea
symptom 72 :  neck_pain
symptom 73 :  nodal_skin_eruptions
symptom 74 :  obesity
symptom 75 :  pain_behind_the_eyes
symptom 76 :  pain_during_bowel_movements
symptom 77 :  pain_in_anal_region
symptom 78 :  painful_walking
symptom 79 :  palpitations
symptom 80 :  passage_of_gases
symptom 81 :  patches_in_throat
symptom 82 :  phlegm
symptom 83 :  polyuria
symptom 84 :  prominent_veins_on_calf
symptom 85 :  puffy_face_and_eyes
symptom 86 :  pus_filled_pimples
symptom 87 :  receiving_blood_transfusion
symptom 88 :  receiving_unsterile_injections
symptom 89 :  red_sore_around_nose
symptom 90 :  red_spots_over_body
symptom 91 :  redness_of_eyes
symptom 92 :  restlessness
symptom 93 :  runny_nose
symptom 94 :  rusty_sputum
symptom 95 :  scurring
symptom 96 :  shivering
symptom 97 :  silver_like_dusting
symptom 98 :  sinus_pressure
symptom 99 :  skin_peeling
symptom 100 :  skin_rash
symptom 101 :  slurred_speech
symptom 102 :  small_dents_in_nails
symptom 103 :  spinning_movements
symptom 104 :  spotting_ urination
symptom 105 :  stiff_neck
symptom 106 :  stomach_bleeding
symptom 107 :  stomach_pain
symptom 108 :  sunken_eyes
symptom 109 :  sweating
symptom 110 :  swelled_lymph_nodes
symptom 111 :  swelling_joints
symptom 112 :  swelling_of_stomach
symptom 113 :  swollen_blood_vessels
symptom 114 :  swollen_extremeties
symptom 115 :  swollen_legs
symptom 116 :  throat_irritation
symptom 117 :  toxic_look_(typhos)
symptom 118 :  ulcers_on_tongue
symptom 119 :  unsteadiness
symptom 120 :  visual_disturbances
symptom 121 :  vomiting
symptom 122 :  watering_from_eyes
symptom 123 :  weakness_in_limbs
symptom 124 :  weakness_of_one_body_side
symptom 125 :  weight_gain
symptom 126 :  weight_loss
symptom 127 :  yellow_crust_ooze
symptom 128 :  yellow_urine
symptom 129 :  yellowing_of_eyes
symptom 130 :  yellowish_skin
symptom 131 : itching
